Date;Name;Account;Balance
2016-04-19;August B. Gamble;ME74229714677549021197;€72,467
2015-08-22;Ishmael F. Stark;SK5319679702701118125674;€129,501
2015-02-10;Minerva R. Compton;AT099306941443209580;€179,863
2015-09-12;Orli Y. George;NL24RAQQ0407244254;€56,112
2015-03-09;Amity Y. White;NL46OYPY4833850525;€22,674
2014-06-29;Malcolm G. Vaughn;SK1179685020452511797825;€75,635
2014-11-08;Kuame V. Robbins;FO7250675540176805;€193,823
2015-12-13;Isabella M. Spence;FO9815975983990514;€177,401
2015-04-23;Tanek N. Shepherd;PT22025140388066364556767;€106,359
2015-07-01;Jillian U. Hodges;ME17236069607954210891;€56,464
2014-09-30;Hadley Y. Roach;BH58094234205925220775;€88,768
2015-10-28;Wayne O. Gilbert;ME44894459916559670025;€75,525
2014-11-27;Ferdinand V. Paul;VG8445543827115780979022;€178,766
2015-07-19;Yolanda F. Lott;AE205062990987301670520;€127,265
2015-03-03;Brynne C. Vinson;IS332626650006769166310167;€56,679
2015-02-22;Kylynn X. Rivera;FI3974327610936469;€40,619
2015-06-02;Wynter K. Hanson;GT40164292304042552590569522;€37,620
2015-09-21;Phelan C. Warren;SI52584026676561382;€165,106
2016-05-01;Maxine F. Strong;LT527495014201338051;€145,624
2014-11-24;Kylie C. Valentine;GL5336864289891827;€167,418
2014-10-20;Aubrey K. Whitehead;NO2856202914163;€184,847
2015-03-11;Bryar M. Robbins;LB40927193771097944061239837;€50,984
2015-06-15;Pandora W. Mccullough;PT60508600772405295502236;€1,540
2015-09-24;Timothy G. Lester;EE521618201281106183;€17,882
2015-12-06;Burton D. Hampton;GL0381203318858527;€10,960
2014-11-18;Melissa O. Bennett;VG7311997590380624629853;€87,105
2015-06-15;Dylan M. Dennis;DK8890172320574265;€197,875
2015-09-07;Colby S. Huber;TN2465373347865218505086;€99,253
2015-12-23;Brandon V. Larsen;GB72UZJO56510608425652;€47,704
2014-12-08;Hedwig P. Valentine;SM3695038838938260248655841;€186,025
2014-11-12;Dean Y. Dorsey;GE07928084301248073722;€81,005
2016-04-09;Chaney J. Sykes;HU59372961262305707081572852;€75,824
2016-05-15;Lacota B. Rollins;PL24648327284866115684544724;€82,595
2015-11-30;Dai H. Pierce;EE877061641176917378;€196,846
2015-12-20;Imogene K. Watkins;BG97AUEH88864133360781;€43,626
2016-05-10;Willa E. Martinez;BA765504994473838367;€48,152
2015-05-23;Kelly K. Joseph;LU846235836555445268;€33,151
2015-10-09;Lila N. Rose;LV63XGBD0742537896226;€171,429
2015-04-03;Dorian R. William;CR9661959225571628644;€182,423
2015-04-14;Castor U. Harmon;BE47685435505381;€18,771
2016-01-22;Evangeline N. George;NL26AQDK2674923396;€181,105
2014-08-05;Aquila X. Hunt;MU0818406791146613618818896774;€78,523
2015-06-22;Yoshio G. Sloan;GL4935405862641727;€73,296
2015-04-07;Gabriel I. Melton;RO62IZWT4356745427292067;€189,187
2016-05-07;Risa E. Thomas;PK6130405951784733454496;€175,450
2015-01-10;Cleo O. Sanders;MK50911801944954181;€43,591
2016-04-25;Cole C. Rosales;BE70434770115292;€197,498
2015-12-08;Camille D. Cain;PS889589740452684602401836529;€77,090
2016-03-12;Marvin Q. Cohen;EE946384562182252219;€44,847
2014-06-27;Hayden K. Miranda;AE645064574198660150015;€97,909
2015-04-07;Leandra Y. Montoya;HR3283809037390940200;€137,867
2016-05-03;Tyrone H. Cain;IL563024913351951642896;€115,703
2016-01-02;Sophia J. Mckay;PT24539401121765645389669;€166,447
2016-02-19;Tasha S. Horn;KZ132086938668564628;€150,965
2014-11-15;Damon Z. Bass;BA241362011664666977;€72,767
2014-12-28;Scott V. Wise;IS793474044684130191609807;€127,016
2015-09-16;Jin N. Wyatt;AT559615547393132679;€56,142
2015-11-12;Kirk I. Donaldson;CZ1931240164249680216432;€160,210
2016-02-09;Burke J. Odom;BA230525042835144260;€44,512
2016-02-15;Chase H. Barlow;BG66MIWZ93177583357033;€68,736
2015-01-06;Jakeem D. Orr;NL89UYIM6482172966;€56,281
2016-05-26;Chantale O. Hill;GI10NANC049115022281734;€177,871
2015-05-25;Cara E. Mays;SK4103266078700790456197;€145,246
2015-05-22;Aretha E. Wheeler;CR1253848953303720788;€153,412
2016-05-01;Whoopi R. Hendricks;PS948152992844010264213219471;€5,827
2014-11-13;Cailin T. Camacho;CR0385151228230235647;€84,695
2014-07-24;Lacy W. Bass;AT302726145417396897;€62,354
2015-01-12;Alice E. Curtis;GL8071749932591057;€154,094
2015-02-07;Tad H. Bernard;GR8923742850733910298590627;€198,660
