Date;Name;Account;Balance
2014-06-28;Kevin M. Landry;SM7297841931190341316068661;€72,450
2014-07-03;Rinah V. West;KZ794701846134512995;€124,205
2014-12-29;Ciara L. Logan;SK9045000734949329259061;€91,831
2015-01-03;Rinah T. Fuentes;LU371513549349638849;€151,520
2016-03-24;Hadley R. Montgomery;SM5801802092997664151182715;€55,468
2016-04-07;Lee I. Delacruz;AD6201889928408631766242;€132,935
2014-12-25;Isadora H. Hale;PL31326733025640447377060230;€152,954
2014-08-18;Jeanette E. Schultz;LB18852487658376170126616059;€139,552
2015-12-22;Halla A. Good;AT571517447146635494;€124,357
2016-01-27;Risa W. Cortez;KW1935203813233781434367078740;€134,090
2015-04-30;Medge L. Gordon;GR3190367791187307058570799;€25,636
2015-07-28;Neve F. Snow;GL3403817191738886;€23,121
2014-11-25;Tanisha C. Adkins;IT439PUXFI33326250556250924;€28,963
2015-12-08;Grant K. Vance;IT662YUDKI19597848572387781;€51,938
2014-10-06;Brody M. Noel;SI13317992593128507;€117,725
2015-06-25;Emmanuel A. Yang;IS742641185925844874829338;€191,979
2015-05-16;Noah Y. Mcleod;NL15TZFW4175939797;€170,214
2016-04-20;Gabriel P. Curtis;KW8666199755553235248553767084;€189,222
2014-08-24;Colt C. Randolph;SI72178334966681166;€114,072
2014-10-14;Colton N. Hyde;MR4198081994693499768165669;€118,719
2015-11-30;Chiquita H. Durham;GB62HAYB75101532017264;€97,178
2016-03-15;Odysseus O. Griffith;SA7561292146210686245574;€17,790
2016-04-16;Avye O. Simpson;CZ3055493874046054475324;€68,449
2016-01-10;Leilani D. Lester;IT964HAJII24435245695058130;€91,056
2014-08-05;Aquila X. Hunt;MU0818406791146613618818896774;€78,523
2015-06-22;Yoshio G. Sloan;GL4935405862641727;€73,296
2015-04-07;Gabriel I. Melton;RO62IZWT4356745427292067;€189,187
2016-05-07;Risa E. Thomas;PK6130405951784733454496;€175,450
2014-09-29;Carol G. Maddox;DK2636989647647689;€164,152
2015-01-29;Austin X. Wong;GT17413660528606731869078669;€75,415
2015-11-27;Uriel J. Ellison;PK7538537291445150399316;€1,502
2014-06-12;Tashya W. Oconnor;TN5313207995892921951012;€137,334
2016-01-15;Aimee Q. Fernandez;MT65EWBH23253220062038636022919;€43,566
2015-04-04;Yetta F. Nguyen;RS33819802641678977433;€152,880
2015-12-06;Rhoda H. Wiggins;MU1873283901730944180968867052;€80,904
2014-07-16;Hilda G. Chen;NO9704107734409;€12,784
2014-09-08;Roary I. Garrett;LB51697573298759521422160123;€31,646
2014-06-25;Nash C. Gomez;VG2366131625895718942663;€174,542
2015-03-21;Adrian V. Barnett;AZ62025590848110946205295196;€10,314
2015-04-13;Shelby F. Stewart;GT87977504693801619079762587;€74,689
2014-08-26;Hilda N. Tran;LI9762755763655211207;€56,128
2014-10-02;Blair X. Richards;RS15305687143023448972;€68,375
2015-12-05;Lavinia T. Hayes;IL622755557025175052210;€74,186
2016-03-15;Tana H. Carter;NL21IRUD8604837107;€7,795
2015-02-27;Xenos O. Davenport;LV98SBPP8869401782950;€157,986
2015-07-23;Clinton N. Lee;HR7055885343290545443;€99,272
2014-09-02;Helen O. Zamora;BA645921250853092562;€2,634
2016-02-13;Noelle B. Raymond;MT13EHAJ57327901391138579443772;€16,783
2016-03-16;Macy C. Mcbride;LI2923867018152620462;€16,487
2015-11-28;Charity N. Key;BA091932198706274780;€59,601
2015-11-24;Xander M. Elliott;GI12AVNK887388212052769;€32,020
2014-08-10;Shellie O. Mckee;LU066117145223609190;€110,989
2015-02-12;Felix W. Sweeney;BA060955290908707467;€49,148
2015-11-12;Bernard M. Lynn;HU59937172078833341250631373;€35,174
2015-03-07;Zoe Z. Hobbs;PS948236918955900397020542246;€119,433
2016-05-17;Jameson R. Preston;VG4113672288436228604841;€190,400
2015-01-02;Kuame Y. Freeman;RS30675314445803739959;€41,274
2016-02-18;Chase T. Marquez;CZ5557807797303658799434;€131,597
2015-08-07;Carissa D. Goodman;HU23519194672937460456090117;€19,280
2015-01-09;Caleb V. Vaughan;ES8558856190147996781375;€88,849
2014-11-23;Ursa R. Miranda;EE202198649810786608;€181,923
2015-01-05;Jolene I. Gregory;AZ59187992284967085309137210;€159,508
2014-07-31;Amal O. Becker;CH4847959517922196986;€104,174
